participant_id,role,date,test_task,completed,completion_time_seconds,ease_of_use_1_to_5,usefulness_1_to_5,issues_observed,feedback
P01,collector,2026-03-12,Submit violation,yes,,,,,
P02,collector,2026-03-12,Submit violation,yes,,,,,
P03,resident,2026-03-12,Check score,yes,,,,,
P04,resident,2026-03-12,Check score,yes,,,,,
P05,resident,2026-03-12,Check score,yes,,,,,
P06,admin,2026-03-12,Review dashboard,yes,,,,,
P07,admin,2026-03-12,Review dashboard,yes,,,,,
P08,resident,2026-03-12,Check score,yes,,,,,
P09,collector,2026-03-12,Submit violation,yes,,,,,
P10,resident,2026-03-12,Check score,yes,,,,,
